Training Round,Loss Value,Accuracy,Validation Loss,Validation Accuracy
1,0.008451844565570354,0.9985681176185608,0.005926428362727165,0.998645544052124
2,0.005859196186065674,0.998634934425354,0.005580473691225052,0.9986759424209595
3,0.005587697960436344,0.9986334443092346,0.005683659575879574,0.9986759424209595
4,0.005512375850230455,0.9986592531204224,0.006410623900592327,0.998104989528656
5,0.005515617318451405,0.9986273646354675,0.005774134304374456,0.9986516237258911
6,0.005374890752136707,0.9986516237258911,0.005596540868282318,0.9986395239830017
7,0.005396098829805851,0.998689591884613,0.005523904226720333,0.9986759424209595
8,0.0054717399179935455,0.9985985159873962,0.005848918575793505,0.9986698627471924
9,0.005369511432945728,0.9986000061035156,0.0056956675834953785,0.9986759424209595
10,0.00538232084363699,0.9986166954040527,0.005487318616360426,0.9986698627471924
11,0.005657725967466831,0.9985924363136292,0.005699385888874531,0.9986759424209595
12,0.00530255725607276,0.9986166954040527,0.005568767432123423,0.9985969662666321
13,0.005536056589335203,0.998569667339325,0.005527728237211704,0.9986516237258911
14,0.005508476868271828,0.9985408186912537,0.005715677049010992,0.9986395239830017
15,0.005457989405840635,0.9985666275024414,0.005576396826654673,0.9985605478286743
16,0.005389390047639608,0.9986076354980469,0.0056410194374620914,0.9986759424209595
17,0.005459293257445097,0.9986015558242798,0.00561375729739666,0.9986577033996582
18,0.00552120478823781,0.9986045956611633,0.005782533902674913,0.9986577033996582
19,0.00542654562741518,0.9986212849617004,0.005717137362807989,0.9986091256141663
20,0.00556426215916872,0.9985878467559814,0.005530176684260368,0.9986334443092346
21,0.005549050401896238,0.9986121654510498,0.0062059625051915646,0.9986698627471924
22,0.0058612702414393425,0.9986076354980469,0.005718994420021772,0.9986516237258911
23,0.005699221510440111,0.998624324798584,0.006364875473082066,0.9986698627471924
24,0.007593029644340277,0.9986273646354675,0.007594010327011347,0.9986698627471924
25,0.007587178144603968,0.9985544681549072,0.007496146950870752,0.9986395239830017
26,0.007499291095882654,0.9985772371292114,0.007398352958261967,0.9986698627471924
27,0.00760926166549325,0.9985331892967224,0.007469795644283295,0.9986759424209595
28,0.008010701276361942,0.998580276966095,0.00806506723165512,0.9985483884811401
29,0.007615373469889164,0.9985468983650208,0.007730374112725258,0.9984815716743469
30,0.007606040686368942,0.9984709620475769,0.007479607593268156,0.998645544052124
