Window,Renyi Entropy10,Renyi Entropy50,Renyi Entropy100,Renyi Entropy200,Renyi Entropy500
10,0,,,,
20,0,,,,
30,0,,,,
40,0.876588167,,,,
50,2,0.518790003,,,
60,0.876588167,,,,
70,0.910063488,,,,
80,1,,,,
90,0.720104596,,,,
100,0.876588167,1.254436753,1.662880301,,
110,0.876588167,,,,
120,0.876588167,,,,
130,0.876588167,,,,
140,0.876588167,,,,
150,0.876588167,0.876588167,,,
160,2,,,,
170,1.566336142,,,,
180,2.396818165,,,,
190,1.584962501,,,,
200,1.22813429,2.530768138,1.870450852,2.099708134,
210,1.396818165,,,,
220,0,,,,
230,1.396818165,,,,
240,1.566336142,,,,
250,1.204072012,2.613585531,,,
260,1.22813429,,,,
270,1.440209192,,,,
280,0.997753737,,,,
290,1.566336142,,,,
300,0.910063488,1.790451755,2.26779732,,
310,0.957769266,,,,
320,1.51232691,,,,
330,1.629882014,,,,
340,1.620089364,,,,
350,0.402388106,2.012460559,,,
360,2.050062385,,,,
370,1.212230185,,,,
380,1.70750857,,,,
390,1.620089364,,,,
400,0.918250634,2.48238279,2.235010397,2.257672208,
410,1.396818165,,,,
420,1.242574941,,,,
430,1.620089364,,,,
440,0,,,,
450,1.219580361,1.042180372,,,
460,0.720104596,,,,
470,1.51232691,,,,
480,1,,,,
490,1.396818165,,,,
500,1.052684156,1.746406613,1.359304991,,2.127857568
510,1.629882014,,,,
520,1.242574941,,,,
530,0.876588167,,,,
540,1.396818165,,,,
550,0,1.247464068,,,
560,0.876588167,,,,
570,0.876588167,,,,
580,0.918250634,,,,
590,0,,,,
600,0.876588167,1.041458734,1.143872056,1.249825809,
610,0.876588167,,,,
620,0.876588167,,,,
630,1.396818165,,,,
640,1.620089364,,,,
650,1.396818165,1.547323205,,,
660,0,,,,
670,0.40205807,,,,
680,0.918250634,,,,
690,2.321928095,,,,
700,0.40205807,0.695466792,1.108625537,,
710,1.147686213,,,,
720,1.147686213,,,,
730,1.219580361,,,,
740,1.242574941,,,,
750,0.918250634,1.637519383,,,
760,0.876588167,,,,
770,0.189997759,,,,
780,1,,,,
790,1.147686213,,,,
800,0.638039089,0.79907422,1.177735891,1.144724207,
810,0.876588167,,,,
820,0.876588167,,,,
830,1.566336142,,,,
840,0.918250634,,,,
850,1.396818165,1.840620018,,,
860,0.918250634,,,,
870,0.876588167,,,,
880,1.396818165,,,,
890,0.918250634,,,,
900,0.876588167,1.177979001,1.515473224,,
910,0.40205807,,,,
920,1.396818165,,,,
930,0.40205807,,,,
940,0.918250634,,,,
950,0.918250634,0.804703652,,,
960,0.876588167,,,,
970,1.620089364,,,,
980,1.620089364,,,,
990,0.918250634,,,,
1000,1.396818165,1.322469512,1.045390437,1.266917556,1.193021437
1010,0.40205807,,,,
1020,0.918250634,,,,
1030,1.147686213,,,,
1040,0.918250634,,,,
1050,0.876588167,0.861525121,,,
1060,0.876588167,,,,
1070,0.40205807,,,,
