Training Round,Loss Value,Accuracy,Validation Loss,Validation Accuracy
1,0.008065651170909405,0.9984831213951111,0.0057514202781021595,0.9986273646354675
2,0.005873898044228554,0.9986318945884705,0.005592119414359331,0.9986637830734253
3,0.005786379799246788,0.9986485838890076,0.0055158440954983234,0.9986516237258911
4,0.005801398307085037,0.998645544052124,0.005720474291592836,0.9986516237258911
5,0.0058211833238601685,0.9986030459403992,0.005731646437197924,0.9986273646354675
6,0.005819627083837986,0.9986166954040527,0.005694109946489334,0.9986759424209595
7,0.005838633514940739,0.9985848069190979,0.006537460722029209,0.9986577033996582
8,0.005916072055697441,0.9986106157302856,0.005961362272500992,0.9986759424209595
9,0.005964675918221474,0.998645544052124,0.008252193219959736,0.9986759424209595
10,0.006440585479140282,0.9986516237258911,0.006052122917026281,0.9986759424209595
11,0.006517863366752863,0.9986076354980469,0.0066777849569916725,0.9986759424209595
12,0.006426175124943256,0.9985650777816772,0.0063523175194859505,0.9986759424209595
13,0.006344221066683531,0.9985817670822144,0.006470364984124899,0.9986759424209595
14,0.006872174330055714,0.9985727071762085,0.007781042717397213,0.9986759424209595
15,0.0068762474693357944,0.9986136555671692,0.006868434604257345,0.9986395239830017
16,0.006654186174273491,0.998569667339325,0.007524902932345867,0.9985605478286743
17,0.007051704451441765,0.9985589981079102,0.007240179926156998,0.9986698627471924
18,0.0073822434060275555,0.9984937310218811,0.007501928601413965,0.9986395239830017
19,0.007312116678804159,0.9985134601593018,0.007360031362622976,0.9986516237258911
20,0.007363912649452686,0.9985347390174866,0.007419569883495569,0.9986698627471924
21,0.007401903625577688,0.9985195398330688,0.006734110880643129,0.9983722567558289
22,0.006993169896304607,0.9984740018844604,0.0071596913039684296,0.9977831244468689
23,0.006605544593185186,0.9985150098800659,0.006829717196524143,0.9986759424209595
24,0.007076255977153778,0.9985589981079102,0.0070320842787623405,0.9986577033996582
25,0.007346460595726967,0.998590886592865,0.0070967236533761024,0.9986577033996582
26,0.007017083931714296,0.9985164999961853,0.006144998129457235,0.9986577033996582
27,0.007146799936890602,0.9984496831893921,0.006605474278330803,0.9986637830734253
28,0.007498839404433966,0.9984375238418579,0.0068942648358643055,0.9986577033996582
29,0.007686066906899214,0.9983752965927124,0.008973654359579086,0.9984451532363892
30,0.008663942106068134,0.9981870055198669,0.007508542854338884,0.998645544052124
31,0.008706578984856606,0.9983919858932495,0.009175479412078857,0.9984573125839233
32,0.009082100354135036,0.9983358383178711,0.015228688716888428,0.9977831244468689
33,0.01596122421324253,0.9977603554725647,0.015764249488711357,0.9977831244468689
34,0.0148291802033782,0.9978529810905457,0.015766877681016922,0.9977831244468689
35,0.014564372599124908,0.9978301525115967,0.00784896407276392,0.9986273646354675
36,0.00781900342553854,0.9984815716743469,0.007388771511614323,0.9986273646354675
37,0.007752515841275454,0.9984648823738098,0.007547506131231785,0.9986030459403992
38,0.0076215919107198715,0.9984892010688782,0.0075184800662100315,0.9986516237258911
39,0.007717781700193882,0.9984481930732727,0.007419823668897152,0.9986395239830017
40,0.007701917551457882,0.9985240697860718,0.0074134450405836105,0.9986334443092346
41,0.0079344492405653,0.9984208345413208,0.0077197980135679245,0.9983965754508972
42,0.007638601586222649,0.9985180497169495,0.007388611324131489,0.9986516237258911
43,0.0075450860895216465,0.998487651348114,0.007429140154272318,0.998645544052124
44,0.007640441879630089,0.9985028505325317,0.0072969235479831696,0.998645544052124
45,0.007458167616277933,0.9985256195068359,0.007560276426374912,0.9986334443092346
46,0.007617506198585033,0.9984831213951111,0.007654075976461172,0.9986273646354675
47,0.007508487440645695,0.9985180497169495,0.007517784368246794,0.9986334443092346
48,0.007623281795531511,0.9984861612319946,0.007354572881013155,0.998645544052124
49,0.007545055355876684,0.9985013008117676,0.008008354343473911,0.998329758644104
50,0.007555587217211723,0.9985408186912537,0.007394097279757261,0.998645544052124
