Window,Renyi Entropy10,Renyi Entropy50,Renyi Entropy100,Renyi Entropy200,Renyi Entropy500
1,0,0.518790003,1.662880301,2.099708134,2.127857568
2,0,1.254436753,1.870450852,2.257672208,1.193021437
3,0,0.876588167,2.26779732,1.249825809,1.165011224
4,0.876588167,2.530768138,2.235010397,1.144724207,1.045611774
5,2,2.613585531,1.359304991,1.266917556,1.224267419
6,0.876588167,1.790451755,1.143872056,1.036503185,
7,0.910063488,2.012460559,1.108625537,1.2732513,
8,1,2.48238279,1.177735891,1.28625683,
9,0.720104596,1.042180372,1.515473224,0.966722485,
10,0.876588167,1.746406613,1.045390437,0.982270932,
11,0.876588167,1.247464068,0.951306758,0.915737549,
12,0.876588167,1.041458734,1.124025789,1.204554938,
13,0.876588167,1.547323205,1.125080648,,
14,0.876588167,0.695466792,1.429811974,,
15,0.876588167,1.637519383,1.213602614,,
16,2,0.79907422,1.361122363,,
17,1.566336142,1.840620018,0.921165733,,
18,2.396818165,1.177979001,1.012928865,,
19,1.584962501,0.804703652,1.013650135,,
20,1.22813429,1.322469512,0.950555433,,
21,1.396818165,0.861525121,1.444702338,,
22,0,1.04349297,0.493779952,,
23,1.396818165,1.074551976,0.981152851,,
24,1.566336142,1.163242609,1.465210529,,
25,1.204072012,1.194158498,2.113979328,,
26,1.22813429,1.045397977,,,
27,1.440209192,1.379670304,,,
28,0.997753737,1.469494149,,,
29,1.566336142,1.55277122,,,
30,0.910063488,0.920960097,,,
31,0.957769266,1.397985305,,,
32,1.51232691,1.32315557,,,
33,1.629882014,0.920703885,,,
34,1.620089364,0.920960097,,,
35,0.402388106,1.171703669,,,
36,2.050062385,0.858937752,,,
37,1.212230185,0.74916241,,,
38,1.70750857,1.323207145,,,
39,1.620089364,0.855349455,,,
40,0.918250634,1.045350229,,,
41,1.396818165,1.045555087,,,
42,1.242574941,1.024293342,,,
43,1.620089364,0.230513708,,,
44,0,0.785060714,,,
45,1.219580361,1.039772258,,,
46,0.720104596,0.91924127,,,
47,1.51232691,1.528838086,,,
48,1,1.394305,,,
49,1.396818165,1.286290016,,,
50,1.052684156,1.912788716,,,
51,1.629882014,1.62134807,,,
52,1.242574941,,,,
53,0.876588167,,,,
54,1.396818165,,,,
55,0,,,,
56,0.876588167,,,,
57,0.876588167,,,,
58,0.918250634,,,,
59,0,,,,
60,0.876588167,,,,
61,0.876588167,,,,
62,0.876588167,,,,
63,1.396818165,,,,
64,1.620089364,,,,
65,1.396818165,,,,
66,0,,,,
67,0.40205807,,,,
68,0.918250634,,,,
69,2.321928095,,,,
70,0.40205807,,,,
71,1.147686213,,,,
72,1.147686213,,,,
73,1.219580361,,,,
74,1.242574941,,,,
75,0.918250634,,,,
76,0.876588167,,,,
77,0.189997759,,,,
78,1,,,,
79,1.147686213,,,,
80,0.638039089,,,,
81,0.876588167,,,,
82,0.876588167,,,,
83,1.566336142,,,,
84,0.918250634,,,,
85,1.396818165,,,,
86,0.918250634,,,,
87,0.876588167,,,,
88,1.396818165,,,,
89,0.918250634,,,,
90,0.876588167,,,,
91,0.40205807,,,,
92,1.396818165,,,,
93,0.40205807,,,,
94,0.918250634,,,,
95,0.918250634,,,,
96,0.876588167,,,,
97,1.620089364,,,,
98,1.620089364,,,,
99,0.918250634,,,,
100,1.396818165,,,,
101,0.40205807,,,,
102,0.918250634,,,,
103,1.147686213,,,,
104,0.918250634,,,,
105,0.876588167,,,,
106,0.876588167,,,,
107,0.40205807,,,,
108,0.918250634,,,,
109,1.620089364,,,,
110,0.876588167,,,,
111,1.052684156,,,,
112,0.40205807,,,,
113,1.629882014,,,,
114,0.642508989,,,,
115,0.876588167,,,,
116,0.876588167,,,,
117,0.638039089,,,,
118,0.638039089,,,,
119,1.51232691,,,,
120,1.566336142,,,,
121,0.720104596,,,,
122,1.147686213,,,,
123,1.147686213,,,,
124,0.876588167,,,,
125,0.876588167,,,,
126,1.147686213,,,,
127,1.566336142,,,,
128,0.910063488,,,,
129,0.910063488,,,,
130,0.642508989,,,,
131,0.876588167,,,,
132,0.40205807,,,,
133,0.910063488,,,,
134,2.050062385,,,,
135,0.91963341,,,,
136,0.638039089,,,,
137,0.918250634,,,,
138,0.638039089,,,,
139,1.147686213,,,,
140,1.629882014,,,,
141,0.642508989,,,,
142,1.396818165,,,,
143,1.396818165,,,,
144,1.620089364,,,,
145,1.396818165,,,,
146,0,,,,
147,0.638039089,,,,
148,0.918250634,,,,
149,1.629882014,,,,
150,1.219580361,,,,
151,1.242574941,,,,
152,1.219580361,,,,
153,0.910063488,,,,
154,0.918250634,,,,
155,1.40205807,,,,
156,1.147686213,,,,
157,0,,,,
158,1.566336142,,,,
159,1.620089364,,,,
160,1.396818165,,,,
161,0,,,,
162,0.40205807,,,,
163,0.918250634,,,,
164,1.396818165,,,,
165,0.918250634,,,,
166,0.876588167,,,,
167,0.876588167,,,,
168,0.918250634,,,,
169,0.40205807,,,,
170,0.40205807,,,,
171,0.40205807,,,,
172,1.219580361,,,,
173,0.918250634,,,,
174,0.910063488,,,,
175,0.642508989,,,,
176,0.918250634,,,,
177,1.219580361,,,,
178,0.638039089,,,,
179,0.876588167,,,,
180,0.638039089,,,,
181,0.642508989,,,,
182,0.40205807,,,,
183,0.638039089,,,,
184,0.91963341,,,,
185,1,,,,
186,1.620089364,,,,
187,0.918250634,,,,
188,1.242574941,,,,
189,1.147686213,,,,
190,0.918250634,,,,
191,0.876588167,,,,
192,0.876588167,,,,
193,0.876588167,,,,
194,0.876588167,,,,
195,0.642508989,,,,
196,1.40205807,,,,
197,0.642508989,,,,
198,0.876588167,,,,
199,1.396818165,,,,
200,0.638039089,,,,
201,0.642508989,,,,
202,0.642508989,,,,
203,0.91963341,,,,
204,1.620089364,,,,
205,1.620089364,,,,
206,0.918250634,,,,
207,0.40205807,,,,
208,0,,,,
209,0,,,,
210,0,,,,
211,0,,,,
212,0,,,,
213,0.876588167,,,,
214,0,,,,
215,0.40205807,,,,
216,0.876588167,,,,
217,0.876588167,,,,
218,0.876588167,,,,
219,0.876588167,,,,
220,0.40205807,,,,
221,1,,,,
222,0.638039089,,,,
223,0.876588167,,,,
224,0.876588167,,,,
225,0.918250634,,,,
226,1.396818165,,,,
227,0.40205807,,,,
228,0.876588167,,,,
229,0.876588167,,,,
230,0.40205807,,,,
231,1.396818165,,,,
232,0.876588167,,,,
233,0.517315666,,,,
234,1.440209192,,,,
235,2.321928095,,,,
236,0.876588167,,,,
237,0.876588167,,,,
238,1,,,,
239,2.050062385,,,,
240,1.566336142,,,,
241,0.638039089,,,,
242,0.638039089,,,,
243,1.620089364,,,,
244,1.440209192,,,,
245,1.396818165,,,,
246,1.440209192,,,,
247,0.918250634,,,,
248,1.396818165,,,,
249,0.40205807,,,,
250,0.876588167,,,,
251,1.396818165,,,,
252,0.876588167,,,,
253,1,,,,
254,0.91963341,,,,
255,0.40205807,,,,
256,1.396818165,,,,
257,0,,,,
258,0.40205807,,,,
259,1.396818165,,,,
