Average Packets per Flow,Average Bytes per Flow,Average Duration per Flow,Source IP Address Generation Speed,Percentage of Pair Flow,label
0.002122372,0.003974177,1.73E-13,353,0.004244745,1
0.000660378,0.000257679,0.003921569,353,0.004244745,1
0.001072638,0.001449615,0.003921564,353,0.004244745,1
0.000313012,0.000124104,3.40E-10,353,0.004244745,1
0.00060312,0.000386503,1.49E-12,353,0.004244745,1
2.29E-05,1.74E-06,1.21E-17,353,0.004244745,1
2.29E-05,1.74E-06,1.21E-17,353,0.004244745,1
0.000156506,5.96E-05,0.003921573,353,0.004244745,1
0.008970459,0.000828298,8.25E-15,353,0.004244745,1
0.008970459,0.001550039,9.00E-15,353,0.004244745,1
0.002275061,0.000210172,2.12E-15,353,0.004244745,1
0.002267427,0.000383091,2.02E-15,353,0.004244745,1
0.000129785,2.15E-05,1.09E-16,353,0.004244745,1
0.000103065,5.11E-05,0.003921563,353,0.004244745,1
7.63E-06,4.19E-07,5.45E-18,353,0.004244745,1
3.05E-05,1.67E-06,2.42E-17,353,0.004244745,1
1.53E-05,8.37E-07,1.03E-17,353,0.004244745,1
1.53E-05,1.16E-06,7.87E-18,353,0.004244745,1
3.05E-05,2.32E-06,1.27E-17,353,0.004244745,0
0.00020613,0.000134328,1.75E-10,353,0.004244745,1
0.000213764,1.87E-05,1.92E-16,353,0.004244745,0
0.000152689,3.84E-05,2.54E-16,353,0.004244745,0
0.004733348,0.000602932,5.05E-15,353,0.004244745,0
0.007397765,0.005863243,5.99E-09,353,0.004244745,0
7.63E-06,4.19E-07,7.87E-18,353,0.004244745,0
7.63E-06,4.19E-07,4.85E-18,353,0.004244745,0
7.63E-06,4.19E-07,5.45E-18,353,0.004244745,1
0.000351184,1.95E-05,2.94E-16,353,0.004244745,1
0.009520138,0.000877489,8.91E-15,353,0.004244745,1
0.009520138,0.00162627,8.98E-15,353,0.004244745,1
0.000160323,1.88E-05,1.31E-16,353,0.004244745,1
0.000160323,1.82E-05,1.10E-16,353,0.004244745,1
0.000133603,7.03E-05,0.003921569,353,0.004244745,1
0.000202312,0.000339477,0.003921563,353,0.004244745,1
5.34E-05,3.43E-06,4.18E-17,353,0.004244745,1
6.11E-05,4.23E-06,5.75E-17,353,0.004244745,1
0.002874364,0.000509247,0.003921563,353,0.004244745,1
0.003000332,0.000967041,6.30E-09,353,0.004244745,1
0.000129785,1.76E-05,1.02E-16,353,0.004244745,1
8.78E-05,3.83E-05,0.003921563,353,0.004244745,1
0.000549679,0.000111956,4.52E-16,353,0.004244745,1
0.000488604,0.000106943,2.07E-09,353,0.004244745,1
0.000381722,6.52E-05,6.75E-16,353,0.004244745,1
0.002023125,0.001468974,3.86E-10,353,0.004244745,1
0.000282474,4.20E-05,2.30E-16,353,0.004244745,1
0.000313012,9.66E-05,4.54E-14,353,0.004244745,1
0.002053662,0.000527528,3.34E-13,353,0.004244745,1
0.000240485,0.000106504,0.003921563,353,0.004244745,1
0.001740651,0.000362299,2.53E-15,353,0.004244745,1
0.00020613,4.09E-05,1.80E-16,353,0.004244745,1
0.001797909,0.000433298,0.003921571,353,0.004244745,1
0.000114516,3.22E-05,7.58E-16,353,0.004244745,1
8.40E-05,1.73E-05,7.09E-17,353,0.004244745,1
0.001106993,0.000175881,1.05E-15,353,0.004244745,1
7.63E-05,2.13E-05,4.72E-17,353,0.004244745,0
0.000110699,5.13E-05,0.003921563,353,0.004244745,0
5.34E-05,3.79E-05,4.12E-17,353,0.004244745,0
0.000889411,0.000333031,0.003921569,353,0.004244745,1
8.40E-05,5.55E-05,7.09E-17,353,0.004244745,1
0.000229033,6.24E-05,2.23E-16,353,0.004244745,1
0.000221399,0.000100707,3.82E-09,353,0.004244745,1
0.000251936,4.95E-05,2.11E-16,353,0.004244745,1
0.000244302,0.000116968,2.13E-16,353,0.004244745,1
0.000198495,0.000108084,3.51E-16,353,0.004244745,1
0.000160323,0.000126637,2.71E-11,353,0.004244745,1
0.000148871,4.79E-05,0.003921563,353,0.004244745,1
0.000412259,4.44E-05,3.54E-16,353,0.004244745,1
0.00020613,4.67E-05,1.96E-16,353,0.004244745,1
0.000847422,0.000380978,6.88E-09,353,0.004244745,1
0.000244302,1.47E-05,3.33E-16,353,0.004244745,1
0.000125968,1.39E-05,0.003921569,353,0.004244745,1
0.000122151,9.04E-06,1.68E-16,353,0.004244745,1
1.53E-05,1.16E-06,1.45E-17,353,0.004244745,1
1.53E-05,1.20E-06,1.27E-17,353,0.004244745,1
0.00013742,9.54E-06,1.21E-16,353,0.004244745,1
1.53E-05,1.16E-06,1.33E-17,353,0.004244745,1
1.53E-05,1.20E-06,1.33E-17,353,0.004244745,1
0.004886037,0.000640592,5.27E-15,353,0.004244745,1
0.00793981,0.0045494,4.26E-09,353,0.004244745,1
0.00342786,0.000937878,1.10E-09,353,0.004244745,1
0.000572582,8.38E-05,5.63E-16,353,0.004244745,1
0.003672162,0.003524105,2.37E-12,353,0.004244745,1
0.000530593,0.000600138,0.003921563,353,0.004244745,0
0.00013742,2.20E-05,1.08E-16,353,0.004244745,0
0.000179409,4.84E-05,0.003921563,353,0.004244745,0
0.00020613,2.51E-05,1.78E-16,353,0.004244745,0
0.000213764,0.000377912,1.11E-12,353,0.004244745,0
9.16E-05,1.15E-05,1.24E-16,353,0.004244745,0
6.49E-05,4.65E-05,0.003921564,353,0.004244745,0
0.00027484,5.73E-05,1.10E-14,353,0.004244745,0
8.40E-05,1.03E-05,2.62E-16,353,0.004244745,0
8.78E-05,0.000129336,0.003921564,353,0.004244745,1
0.000710002,0.000398097,8.27E-13,353,0.004244745,1
0.00064511,0.00122021,0.003921564,353,0.004244745,1
0.000122151,0.000123843,1.07E-16,353,0.004244745,1
0.000320646,0.000139037,3.23E-16,353,0.004244745,1
0.000290108,0.000379711,4.96E-15,353,0.004244745,1
7.63E-06,7.95E-07,4.85E-18,353,0.004244745,1
7.63E-06,7.95E-07,4.85E-18,353,0.004244745,1
0.001694844,0.000978698,7.09E-11,353,0.004244745,1
0.001305488,0.001084375,7.22E-11,353,0.004244745,1
0.003244634,0.00217909,9.40E-11,353,0.004244745,1
0.003248451,0.002314935,0.003921564,353,0.004244745,1
0.000190861,3.17E-05,1.59E-16,353,0.004244745,0
0.000152689,9.52E-05,1.28E-16,353,0.004244745,0
9.92E-05,1.61E-05,6.18E-17,353,0.004244745,1
0.000145054,0.000206478,1.39E-13,353,0.004244745,1
0.003164472,0.002780316,0.003921564,353,0.004244745,1
0.003221731,0.002490397,8.05E-11,353,0.004244745,1
9.16E-05,1.15E-05,2.25E-16,353,0.004244745,1
7.25E-05,7.91E-05,0.003921564,353,0.004244745,1
0.0047448,0.001213503,0.003921566,353,0.004244745,1
0.000389356,5.67E-05,3.02E-16,353,0.004244745,1
0.00030156,7.77E-05,0.003921564,353,0.004244745,1
0.005828889,0.005693191,0.003921565,353,0.004244745,1
0.001366563,0.000175891,1.77E-15,353,0.004244745,1
0.001649037,0.000340952,1.34E-15,353,0.004244745,1
0.001633769,0.003394371,8.47E-09,353,0.004244745,1
0.001847533,0.001455632,1.70E-15,353,0.004244745,1
0.000839788,0.000112416,9.07E-16,353,0.004244745,1
0.000759626,0.000249224,0.003921564,353,0.004244745,1
0.013100687,0.001032358,6.68E-11,353,0.004244745,1
0.05686889,0.291030659,1.00E-10,353,0.004244745,1
0.001099358,7.54E-05,1.52E-15,353,0.004244745,1
0.002000221,0.005728246,2.55E-13,353,0.004244745,1
0.000748174,0.000113797,7.89E-16,353,0.004244745,1
0.000744357,0.001026143,0.003921564,353,0.004244745,1
0.000213764,4.63E-05,1.45E-16,353,0.004244745,1
0.000194678,4.73E-05,0.003921564,353,0.004244745,0
0.001939146,0.000199122,1.97E-15,353,0.004244745,0
0.002236889,0.004845702,6.84E-10,353,0.004244745,0
0.001786457,0.000323697,1.75E-15,353,0.004244745,1
0.00020613,3.25E-05,1.64E-16,353,0.004244745,1
0.001866619,0.000444871,0.003921565,353,0.004244745,1
0.00131694,0.000725906,0.003921565,353,0.004244745,1
9.16E-05,1.77E-05,6.78E-17,353,0.004244745,1
0.001297854,0.000313306,1.31E-13,353,0.004244745,1
0.000213764,3.83E-05,1.48E-16,353,0.004244745,1
9.16E-05,5.59E-05,7.51E-17,353,0.004244745,1
0.000194678,0.00013595,0.003921564,353,0.004244745,1
0.000229033,6.10E-05,1.89E-16,353,0.004244745,1
0.000221399,0.000101722,1.59E-14,353,0.004244745,1
0.000160323,0.000105102,4.19E-16,353,0.004244745,1
0.000229033,5.70E-05,3.49E-16,353,0.004244745,1
0.000213764,0.000100288,4.18E-15,353,0.004244745,1
0.001813178,0.000145493,0.003921564,353,0.004244745,1
0.000988659,9.11E-05,0.003921564,353,0.004244745,1
0.006271687,0.027314348,0.003921564,353,0.004244745,1
0.003187376,0.016373193,0.003921564,353,0.004244745,1
0.000526776,7.01E-05,4.15E-16,353,0.004244745,1
0.000500055,0.00021352,0.003921564,353,0.004244745,1
0.000122151,2.05E-05,9.63E-17,353,0.004244745,1
0.008142123,0.000599128,0.003921564,353,0.004244745,1
9.16E-05,2.45E-05,7.69E-17,353,0.004244745,1
0.029014662,0.162905765,0.003921564,353,0.004244745,1
0.002076566,0.000175452,5.73E-12,353,0.004244745,1
0.007180184,0.033155867,0.003921564,353,0.004244745,0
6.87E-05,2.63E-05,6.00E-17,353,0.004244745,0
7.63E-05,6.06E-05,2.41E-16,353,0.004244745,0
0.000988659,8.34E-05,0.003921564,353,0.004244745,0
0.004416519,0.02256028,0.003921564,353,0.004244745,0
0.002198717,0.000152807,1.52E-15,353,0.004244745,0
0.002649148,0.000163711,2.09E-15,353,0.004244745,0
0.00400426,0.010867153,0.003921564,353,0.004244745,0
0.003290441,0.008481679,2.83E-12,353,0.004244745,0
0.00013742,2.17E-05,9.63E-17,353,0.004244745,1
0.000152689,0.00014114,3.47E-16,353,0.004244745,1
0.001458177,0.000140209,2.03E-12,353,0.004244745,1
0.005428082,0.024724855,5.72E-12,353,0.004244745,1
0.001702479,0.000972818,4.43E-11,353,0.004244745,1
0.001255864,0.001081634,0.003921564,353,0.004244745,1
6.11E-05,4.99E-05,5.21E-17,353,0.004244745,1
3.82E-05,8.88E-06,2.79E-17,353,0.004244745,1
0.000664196,6.85E-05,4.62E-16,353,0.004244745,1
0.001908608,0.006139517,4.42E-11,353,0.004244745,1
2.29E-05,2.39E-06,2.00E-17,353,0.004244745,1
2.29E-05,2.39E-06,1.82E-17,353,0.004244745,1
0.000145054,2.31E-05,1.14E-16,353,0.004244745,0
0.000187044,4.88E-05,0.003921564,353,0.004244745,0
0.000183226,1.66E-05,1.56E-16,353,0.004244745,1
0.000114516,1.70E-05,9.63E-17,353,0.004244745,1
0.000167958,1.94E-05,1.39E-16,353,0.004244745,1
9.92E-05,4.15E-05,9.87E-17,353,0.004244745,1
0.000236667,3.89E-05,2.07E-16,353,0.004244745,1
0.000114516,2.34E-05,1.04E-16,353,0.004244745,1
0.000213764,8.10E-05,8.89E-09,353,0.004244745,1
0.000125968,4.41E-05,0.003921564,353,0.004244745,1
0.000832153,0.000151866,6.54E-16,353,0.004244745,1
0.000675647,0.000179753,0.003921566,353,0.004244745,1
0.000656561,9.18E-05,4.49E-16,353,0.004244745,1
0.000542045,0.000124397,4.43E-16,353,0.004244745,1
0.000244302,5.50E-05,5.33E-16,353,0.004244745,1
0.000175592,7.19E-05,1.43E-15,353,0.004244745,1
0.000427528,5.21E-05,6.26E-16,353,0.004244745,1
0.000129785,1.76E-05,1.69E-16,353,0.004244745,1
0.000473335,0.000431268,8.36E-14,353,0.004244745,1
0.000103065,4.84E-05,0.003921564,353,0.004244745,1
0.000190861,3.71E-05,1.47E-16,353,0.004244745,1
0.000122151,3.13E-05,1.07E-16,353,0.004244745,1
0.000114516,5.15E-05,9.45E-17,353,0.004244745,1
9.16E-05,1.76E-05,7.09E-17,353,0.004244745,1
8.40E-05,5.59E-05,7.33E-17,353,0.004244745,1
0.000557314,0.00014363,4.67E-16,353,0.004244745,0
0.000542045,0.00024779,3.63E-13,353,0.004244745,0
0.000145054,6.16E-05,1.16E-16,353,0.004244745,0
0.000106882,1.41E-05,8.78E-17,353,0.004244745,1
9.54E-05,4.62E-05,0.003921564,353,0.004244745,1
0.000152689,3.01E-05,7.56E-16,353,0.004244745,1
0.000183226,0.00029897,1.38E-12,353,0.004244745,1
0.000114516,1.67E-05,1.01E-16,353,0.004244745,1
0.000110699,5.01E-05,0.003921564,353,0.004244745,1
7.63E-06,5.44E-07,7.27E-18,353,0.004244745,1
0.000412259,6.57E-05,3.16E-16,353,0.004244745,1
3.82E-05,2.72E-06,3.51E-17,353,0.004244745,1
0.000259571,0.000247916,6.95E-14,353,0.004244745,1
2.29E-05,2.39E-06,2.00E-17,353,0.004244745,1
2.29E-05,2.39E-06,1.94E-17,353,0.004244745,1
0.000145054,1.37E-05,1.22E-16,353,0.004244745,1
4.58E-05,4.54E-06,4.00E-17,353,0.004244745,1
0.000145054,3.65E-05,1.14E-16,353,0.004244745,1
0.000183226,3.19E-05,1.48E-16,353,0.004244745,1
4.58E-05,9.35E-06,4.66E-17,353,0.004244745,1
0.000114516,3.23E-05,8.18E-17,353,0.004244745,1
0.000183226,1.66E-05,1.71E-16,353,0.004244745,1
0.000167958,1.94E-05,1.55E-16,353,0.004244745,1
0.000106882,1.88E-05,9.09E-17,353,0.004244745,1
0.000114516,2.34E-05,9.27E-17,353,0.004244745,1
9.54E-05,4.06E-05,0.003921564,353,0.004244745,1
0.000125968,4.41E-05,0.003921564,353,0.004244745,1
0.002679686,0.000291876,2.16E-15,353,0.004244745,1
0.002351405,0.000544322,2.12E-15,353,0.004244745,0
0.000313012,4.59E-05,2.37E-16,353,0.004244745,0
0.000293926,0.000144311,0.003921566,353,0.004244745,0
1.53E-05,1.09E-06,1.27E-17,353,0.004244745,0
0.002061297,0.000467526,2.15E-15,353,0.004244745,0
7.63E-05,5.44E-06,6.48E-17,353,0.004244745,0
0.002133824,0.001453958,0.003921569,353,0.004244745,0
0.000328281,4.23E-05,4.89E-16,353,0.004244745,0
0.001465811,0.000336913,1.04E-09,353,0.004244745,0
0.000313012,4.17E-05,2.16E-16,353,0.004244745,1
0.000251936,9.48E-05,6.55E-09,353,0.004244745,1
0.001607048,0.001312326,0.003921564,353,0.004244745,1
0.000343549,0.00053998,2.46E-12,353,0.004244745,1
0.000679465,7.04E-05,5.37E-16,353,0.004244745,1
0.000595486,9.18E-05,7.09E-16,353,0.004244745,1
0.00020613,2.97E-05,1.36E-16,353,0.004244745,1
0.00016414,7.23E-05,0.003921564,353,0.004244745,1
0.000160323,3.02E-05,1.34E-16,353,0.004244745,1
0.000118334,4.01E-05,0.003921564,353,0.004244745,1
0.00113753,0.000206635,9.24E-16,353,0.004244745,1
0.000885594,0.000100257,9.04E-16,353,0.004244745,1
9.16E-05,1.77E-05,7.33E-17,353,0.004244745,0
0.001007745,0.002013861,8.70E-13,353,0.004244745,0
8.40E-05,5.59E-05,3.09E-16,353,0.004244745,1
0.000961939,0.00048271,1.03E-15,353,0.004244745,1
0.000106882,2.15E-05,9.63E-17,353,0.004244745,1
9.92E-05,4.41E-05,8.78E-17,353,0.004244745,1
0.00013742,2.16E-05,1.10E-16,353,0.004244745,1
0.000175592,2.06E-05,1.50E-16,353,0.004244745,1
0.000320646,3.66E-05,2.33E-16,353,0.004244745,1
0.000309195,0.000127411,0.003921564,353,0.004244745,1
0.00074054,0.000119239,4.82E-16,353,0.004244745,1
0.000641292,0.000289448,5.97E-15,353,0.004244745,1
0.000114516,1.51E-05,8.72E-17,353,0.004244745,1
0.000103065,4.50E-05,0.003921564,353,0.004244745,1
0.002481191,0.00061438,5.53E-13,353,0.004244745,1
0.002626245,0.002732233,4.52E-12,353,0.004244745,1
0.000244302,3.48E-05,1.96E-16,353,0.004244745,1
0.000171775,5.34E-05,0.003921564,353,0.004244745,1
0.000236667,9.24E-05,3.68E-16,353,0.004244745,1
0.000209947,4.99E-05,0.003921564,353,0.004244745,1
0.000244302,5.00E-05,1.64E-16,353,0.004244745,1
0.000702368,0.000124021,6.21E-16,353,0.004244745,1
0.004267648,0.000354189,4.10E-15,353,0.004244745,1
0.007191636,0.019941718,4.10E-10,353,0.004244745,1
0.000221399,7.99E-05,1.68E-16,353,0.004244745,1
0.000106882,3.06E-05,8.00E-17,353,0.004244745,0
0.000618389,0.0003754,6.83E-16,353,0.004244745,0
0.000103065,5.07E-05,0.003921564,353,0.004244745,0
0.000114516,2.90E-05,9.63E-17,353,0.004244745,1
0.000110699,5.04E-05,0.003921564,353,0.004244745,1
0.000587851,0.000201319,6.83E-16,353,0.004244745,1
0.000637475,9.61E-05,0.003921565,353,0.004244745,1
0.000542045,9.94E-05,4.53E-16,353,0.004244745,1
0.000213764,4.85E-05,1.77E-16,353,0.004244745,1
0.000320646,9.97E-05,2.71E-16,353,0.004244745,1
0.000213764,0.000165019,1.85E-16,353,0.004244745,1
0.000190861,0.000125255,3.76E-16,353,0.004244745,1
0.000129785,1.76E-05,8.24E-17,353,0.004244745,1
0.000106882,4.86E-05,8.00E-17,353,0.004244745,1
6.11E-05,1.22E-05,4.30E-17,353,0.004244745,1
0.000480969,0.000272486,4.76E-16,353,0.004244745,1
5.73E-05,4.49E-05,0.003921565,353,0.004244745,1
0.000358818,5.19E-05,3.31E-16,353,0.004244745,1
0.000248119,6.14E-05,0.003921565,353,0.004244745,1
0.000893229,0.000173056,8.19E-16,353,0.004244745,1
0.000786347,0.000310303,6.83E-16,353,0.004244745,1
0.000122151,5.02E-05,1.31E-16,353,0.004244745,1
0.000122151,5.93E-05,1.14E-16,353,0.004244745,1
0.000183226,5.60E-05,1.52E-16,353,0.004244745,1
0.000179409,6.26E-05,0.003921565,353,0.004244745,1
0.000167958,1.87E-05,1.38E-16,353,0.004244745,1
0.000152689,5.20E-05,1.36E-16,353,0.004244745,1
0.000324463,0.000637746,0.003921565,353,0.004244745,1
0.000244302,0.000109005,2.12E-16,353,0.004244745,0
9.92E-05,1.02E-05,8.96E-17,353,0.004244745,0
7.63E-05,0.000101387,3.28E-16,353,0.004244745,0
0.000618389,8.48E-05,4.31E-16,353,0.004244745,0
0.000614572,0.001205121,0.003921565,353,0.004244745,0
0.000229033,1.59E-05,1.91E-16,353,0.004244745,0
0.00013742,9.54E-06,1.13E-16,353,0.004244745,0
0.000106882,1.07E-05,3.10E-16,353,0.004244745,0
4.58E-05,4.53E-06,2.97E-17,353,0.004244745,0
6.87E-05,5.31E-05,7.09E-17,353,0.004244745,1
3.05E-05,1.92E-05,2.54E-17,353,0.004244745,1
0.000282474,4.45E-05,2.85E-16,353,0.004244745,1
0.00037027,6.98E-05,0.003921565,353,0.004244745,1
0.000412259,5.36E-05,3.28E-16,353,0.004244745,1
0.000473335,0.000914407,4.13E-10,353,0.004244745,1
0.000587851,0.00016347,4.48E-16,353,0.004244745,1
0.00083597,0.001370454,0.003921565,353,0.004244745,1
0.000931401,0.000161336,9.83E-16,353,0.004244745,1
0.000335915,6.77E-05,2.71E-16,353,0.004244745,1
0.000664196,0.000100246,5.39E-16,353,0.004244745,1
0.000492421,0.000196317,0.003921566,353,0.004244745,1
0.00013742,5.76E-05,1.19E-16,353,0.004244745,0
0.000320646,0.000136138,2.71E-16,353,0.004244745,0
0.000133603,0.00015151,0.003921565,353,0.004244745,1
0.000259571,2.40E-05,2.20E-16,353,0.004244745,1
0.000229033,3.36E-05,2.07E-16,353,0.004244745,1
