Window,Renyi Entropy
100,1.4765495465034506
200,1.6616024362814092
300,1.9939497292472017
400,1.9555158407948696
500,1.1903412707658076
600,0.9992025447408895
700,0.9697831488288694
800,1.0291814919269704
900,1.3282773428130408
1000,0.9125468361419682
1100,0.8304143342439246
1200,0.9833838143072262
1300,0.9833845987238159
1400,1.2567061962338892
1500,1.059742734961413
1600,1.1882916314160816
1700,0.8039624663544597
1800,0.8846903410134522
1900,0.8846903733535476
2000,0.8304142497193899
2100,1.291522380161944
2200,0.4319220633720178
2300,0.8573182886548497
2400,1.2803432803659796
2500,1.8630036337039817
