Window,Renyi Entropy
50,1.3741854163060885
100,1.5617677112802775
150,0.9709505944546686
200,2.7815677929120164
250,3.0413814834045643
300,2.6135388697992608
350,2.8905477327812483
400,3.375814583693911
450,1.7584696678335248
500,2.427898836061255
550,2.0811460945412072
600,1.5829661954675214
650,1.9550849518197797
700,1.624381457724494
750,2.370699332842307
800,1.2177968115985955
850,2.237423377968914
900,2.049432036254818
950,1.653660689688186
1000,2.1924876891689538
1050,1.549866167759587
1100,1.887351814444994
1150,2.269980506100094
1200,1.7735681581652276
1250,1.7902328307851145
1300,2.0815419333359277
1350,2.050707863185276
1400,2.206734158337225
1450,2.3195995031869034
1500,1.8393308322365363
1550,2.37282218990196
1600,2.557780939298761
1650,1.8997218324096137
1700,1.839330832236536
1750,1.8592365361682792
1800,1.456765727118515
1850,1.641526381910081
1900,2.6528786893420304
1950,1.3461950991587328
2000,1.9942513738039218
2050,2.256639683379197
2100,1.5517374334224663
2150,0.5293608652873644
2200,0.9426831892554922
2250,1.571346433249389
2300,1.515336213432141
2350,2.4073015037390997
2400,2.253338820881218
2450,2.25413248696422
2500,2.354534212240628
2550,2.322471477767478
