Training Round,Loss Value,Accuracy,Validation Loss,Validation Accuracy
1,0.00888620875775814,0.9985772371292114,0.006281738635152578,0.9986516237258911
2,0.005874117370694876,0.998678982257843,0.0055819423869252205,0.9986516237258911
3,0.005558214150369167,0.9986774325370789,0.005773467943072319,0.9986759424209595
4,0.005511893890798092,0.9986972212791443,0.005852189846336842,0.9986637830734253
5,0.005383450537919998,0.9986713528633118,0.005506996531039476,0.998645544052124
6,0.0053656748495996,0.9986850619316101,0.005412646569311619,0.9986820220947266
7,0.005267541855573654,0.9987442493438721,0.0056180949322879314,0.9986273646354675
8,0.005111066624522209,0.9987078309059143,0.005382325500249863,0.9986273646354675
9,0.005096482578665018,0.9987214803695679,0.005306074861437082,0.9989067316055298
10,0.004964128602296114,0.9988110661506653,0.005539210978895426,0.9984937310218811
11,0.0049004387110471725,0.9988186955451965,0.005373212043195963,0.9986759424209595
12,0.005212780088186264,0.9987913370132446,0.00522470660507679,0.9986941814422607
13,0.005021509248763323,0.998815655708313,0.0052107772789895535,0.9986516237258911
14,0.005016982089728117,0.9988323450088501,0.005091466009616852,0.998760998249054
15,0.005052817519754171,0.9987989068031311,0.005363674368709326,0.9989371299743652
16,0.005044896621257067,0.9987594485282898,0.005419500172138214,0.9987184405326843
17,0.005180752370506525,0.9987320899963379,0.0057051959447562695,0.9986941814422607
18,0.00525401346385479,0.9986334443092346,0.005552318412810564,0.9986881017684937
19,0.005762926302850246,0.9985985159873962,0.005903496406972408,0.9986395239830017
20,0.005114431492984295,0.9987457990646362,0.005183497443795204,0.9988095760345459
21,0.0050559029914438725,0.9988095760345459,0.005708823446184397,0.9988642334938049
22,0.005007246974855661,0.9988581538200378,0.005071258172392845,0.9988884925842285
23,0.005251575727015734,0.9988186955451965,0.005894958972930908,0.9987427592277527
24,0.005081959534436464,0.9988338351249695,0.00517905643209815,0.9988642334938049
25,0.005067296326160431,0.9988884925842285,0.005497549194842577,0.9988824725151062
26,0.00518456008285284,0.9988566040992737,0.005658979061990976,0.9988338351249695
27,0.005137037020176649,0.9988991618156433,0.0051739998161792755,0.9989978671073914
28,0.005152740515768528,0.9989036917686462,0.005844514816999435,0.9985787868499756
29,0.005203725770115852,0.9988201856613159,0.005364743527024984,0.9989857077598572
30,0.005134167615324259,0.9988490343093872,0.005129032302647829,0.9988945722579956
31,0.00507091311737895,0.9988626837730408,0.005599500611424446,0.9987488389015198
32,0.005014609079807997,0.9988839626312256,0.0048808869905769825,0.9987305998802185
33,0.0049238489009439945,0.9988247156143188,0.005186767317354679,0.9987670183181763
34,0.007023303769528866,0.9985529184341431,0.005276796407997608,0.9987974166870117
35,0.005252552218735218,0.9986516237258911,0.005764092784374952,0.9986881017684937
36,0.0057914783246815205,0.9986304044723511,0.005741691682487726,0.9986577033996582
37,0.0061165932565927505,0.998487651348114,0.005276573356240988,0.9986334443092346
38,0.005303261801600456,0.9986060857772827,0.005211988929659128,0.9987002611160278
39,0.0056906696408987045,0.9986470937728882,0.006975643336772919,0.9987123608589172
40,0.0067968349903821945,0.9986364841461182,0.006050724536180496,0.9983965754508972
41,0.005874982103705406,0.9986273646354675,0.005698973312973976,0.9987730979919434
42,0.005814037285745144,0.998634934425354,0.005826094187796116,0.9989917874336243
43,0.005970299243927002,0.9987093210220337,0.006511996034532785,0.9987062811851501
44,0.006429784465581179,0.998645544052124,0.006046982482075691,0.9985666275024414
45,0.005878024734556675,0.9985666275024414,0.006183900870382786,0.9985483884811401
46,0.005732379853725433,0.9985848069190979,0.0061883023008704185,0.9986759424209595
47,0.0061136879958212376,0.9985741972923279,0.0069890390150249004,0.9986637830734253
48,0.007039644755423069,0.9985650777816772,0.006833269260823727,0.9986334443092346
49,0.007826168090105057,0.9985271096229553,0.010749048553407192,0.998275101184845
50,0.008276207372546196,0.9984466433525085,0.006946702487766743,0.9986395239830017
