Window,Renyi Entropy
50,0.5187900026169877
100,1.2544367534066314
150,0.8765881665061975
200,2.5307681376337956
250,2.6135855314890604
300,1.7904517551577508
350,2.0124605592003273
400,2.4823827901710334
450,1.042180372000313
500,1.7464066131163845
550,1.2474640682350162
600,1.0414587339250574
650,1.5473232054459762
700,0.6954667924382433
750,1.6375193825348706
800,0.7990742204153002
850,1.8406200178030814
900,1.177979001055092
950,0.8047036518258774
1000,1.322469511691891
1050,0.861525120657962
1100,1.0434929700381335
1150,1.0745519755481276
1200,1.1632426088044778
1250,1.1941584984106863
1300,1.0453979768142512
1350,1.3796703040912066
1400,1.4694941489125921
1450,1.5527712198617079
1500,0.9209600973400625
1550,1.3979853054359446
1600,1.32315557034439
1650,0.9207038847563336
1700,0.9209600973400625
1750,1.171703669122468
1800,0.8589377522585817
1850,0.7491624097113656
1900,1.323207145255783
1950,0.8553494545431005
2000,1.0453502288105148
2050,1.045555087226978
2100,1.024293342371237
2150,0.23051370811742242
2200,0.785060714390065
2250,1.039772257782582
2300,0.9192412696661989
2350,1.5288380864728162
2400,1.3943049996540844
2450,1.2862900162184294
2500,1.9127887157464836
2550,1.6213480696362315
