Window,Renyi Entropy
100,1.6628803010147024
200,1.8704508518095497
300,2.26779732028189
400,2.235010396932747
500,1.359304990841829
600,1.1438720555232222
700,1.1086255368425764
800,1.1777358913736882
900,1.51547322432293
1000,1.0453904372355112
1100,0.9513067584517666
1200,1.1240257888139218
1300,1.1250806484638773
1400,1.4298119739990227
1500,1.2136026140881686
1600,1.361122363463639
1700,0.9211657328022745
1800,1.0129288654532016
1900,1.0136501348332898
2000,0.9505554328604713
2100,1.444702337761359
2200,0.49377995180148
2300,0.9811528514833159
2400,1.4652105291556194
2500,2.113979328223655
