Window,Renyi Entropy
100,2.0247560990855713
200,2.3175031685609873
300,2.8421133599368287
400,2.924865212233654
500,1.8042037849310317
600,1.598587974636191
700,1.52616114710497
800,1.6188273952832022
900,1.975964064544491
1000,1.5228407888133584
1100,1.3770696490798233
1200,1.5561076380489711
1300,1.5735264435638718
1400,1.8772610280454545
1500,1.6980612330346643
1600,1.9759640645444903
1700,1.3778192957794075
1800,1.4320652135221836
1900,1.5236701622428623
2000,1.3518106972818626
2100,1.8190883366314308
2200,0.6547171824064917
2300,1.356975041986563
2400,1.9983143398741101
2500,2.6276488998227068
