Window,Renyi Entropy
100,1.5443555515121519
200,1.7364597525040404
300,2.08794961663344
400,2.0484921455059695
500,1.2468865447410238
600,1.0467690008989277
700,1.0158909681114534
800,1.0781679417518648
900,1.3912935815079466
1000,0.9560003153229439
1100,0.8699570680665836
1200,1.0301280172243115
1300,1.0301759526328726
1400,1.3159020292215635
1500,1.1102021665584962
1600,1.2448730740543292
1700,0.8422463459755241
1800,0.926809746958553
1900,0.9268183752738982
2000,0.8699424022062034
2100,1.3481585960481046
2200,0.452469534303407
2300,0.8981246263701067
2400,1.3412893244926594
2500,1.9502774239259628
