Window,Renyi Entropy10,Renyi Entropy50,Renyi Entropy100,Renyi Entropy200,Renyi Entropy500
1,0,1.374185416,2.419056391,2.749911517,3.607728266
2,0,1.561767711,2.674757104,3.724113299,2.647935852
3,0,0.970950594,3.208633003,2.502993543,2.657974535
4,0.970950594,2.781567793,3.373888635,2.310572289,2.611817031
5,2,3.041381483,2.258941738,2.353998197,2.685110872
6,0.970950594,2.61353887,2.095474539,2.359019183,
7,1.295461844,2.890547733,2.05963851,2.41465951,
8,1,3.375814584,2.086597847,2.774604285,
9,0.918295834,1.758469668,2.353551255,2.158048522,
10,0.970950594,2.427898836,2.154251374,2.320322781,
11,0.970950594,2.081146095,1.930317481,1.748235991,
12,0.970950594,1.582966195,2.138976105,2.487865608,
13,0.970950594,1.955084952,2.166147377,,
14,0.970950594,1.624381458,2.371705656,,
15,0.970950594,2.370699333,2.213042206,,
16,2,1.217796812,2.760357304,,
17,1.846439345,2.237423378,2.094428582,,
18,2.521928095,2.049432036,1.961364507,,
19,1.584962501,1.65366069,2.373815632,,
20,1.5,2.192487689,1.904765915,,
21,1.521928095,1.549866168,2.35690387,,
22,0,1.887351814,0.795040279,,
23,1.521928095,2.269980506,1.785445212,,
24,1.846439345,1.773568158,2.502927435,,
25,1.459147917,1.790232831,3.017108168,,
26,1.5,2.081541933,,,
27,1.836591668,2.050707863,,,
28,1.378783493,2.206734158,,,
29,1.846439345,2.319599503,,,
30,1.295461844,1.839330832,,,
31,0.99107606,2.37282219,,,
32,1.570950594,2.557780939,,,
33,2.121928095,1.899721832,,,
34,1.921928095,1.839330832,,,
35,0.921928095,1.859236536,,,
36,2.246439345,1.456765727,,,
37,1.392147224,1.641526382,,,
38,1.891061112,2.652878689,,,
39,1.921928095,1.346195099,,,
40,1.370950594,1.994251374,,,
41,1.521928095,2.256639683,,,
42,1.760964047,1.551737433,,,
43,1.921928095,0.529360865,,,
44,0,0.942683189,,,
45,1.485475297,1.571346433,,,
46,0.918295834,1.515336213,,,
47,1.570950594,2.407301504,,,
48,1,2.253338821,,,
49,1.521928095,2.254132487,,,
50,1.435520504,2.354534212,,,
51,2.121928095,2.322471478,,,
52,1.760964047,,,,
53,0.970950594,,,,
54,1.521928095,,,,
55,0,,,,
56,0.970950594,,,,
57,0.970950594,,,,
58,1.370950594,,,,
59,0,,,,
60,0.970950594,,,,
61,0.970950594,,,,
62,0.970950594,,,,
63,1.521928095,,,,
64,1.921928095,,,,
65,1.521928095,,,,
66,0,,,,
67,0.721928095,,,,
68,1.370950594,,,,
69,2.321928095,,,,
70,0.721928095,,,,
71,1.360964047,,,,
72,1.360964047,,,,
73,1.485475297,,,,
74,1.760964047,,,,
75,1.370950594,,,,
76,0.970950594,,,,
77,0.468995594,,,,
78,1,,,,
79,1.360964047,,,,
80,0.881290899,,,,
81,0.970950594,,,,
82,0.970950594,,,,
83,1.846439345,,,,
84,1.370950594,,,,
85,1.521928095,,,,
86,1.370950594,,,,
87,0.970950594,,,,
88,1.521928095,,,,
89,1.370950594,,,,
90,0.970950594,,,,
91,0.721928095,,,,
92,1.521928095,,,,
93,0.721928095,,,,
94,1.370950594,,,,
95,1.370950594,,,,
96,0.970950594,,,,
97,1.921928095,,,,
98,1.921928095,,,,
99,1.370950594,,,,
100,1.521928095,,,,
101,0.721928095,,,,
102,1.370950594,,,,
103,1.360964047,,,,
104,1.370950594,,,,
105,0.970950594,,,,
106,0.970950594,,,,
107,0.721928095,,,,
108,1.370950594,,,,
109,1.921928095,,,,
110,0.970950594,,,,
111,1.435520504,,,,
112,0.721928095,,,,
