Training Round,Loss Value
1,0.10385874
2,0.058248877
3,0.085743243
4,0.054709357
5,0.055044632
6,0.055593662
7,0.054510753
8,0.059253528
9,0.051729619
10,0.053920361
11,0.053546032
12,0.05276481
13,0.052037245
14,0.053756824
15,0.052731194
16,0.051269198
17,0.049776635
18,0.053032046
19,0.052450202
20,0.051426639
21,0.053323847
22,0.051019536
23,0.050937994
24,0.052042054
25,0.052191517
26,0.05347026
27,0.051484504
28,0.052695004
29,0.0526771
30,0.052475543
31,0.052530412
32,0.052093281
33,0.05196908
34,0.051904605
35,0.051692189
36,0.051188758
37,0.053068139
38,0.054349718
39,0.053260215
40,0.055101267
41,0.052950787
42,0.051641278
43,0.053673871
44,0.051047383
45,0.052731678
46,0.050947288
47,0.050826598
48,0.051763329
49,0.051854029
50,0.052886965
