Training Round,Loss Value,Accuracy,Validation Loss,Validation Accuracy
1,0.009278577752411366,0.9985210299491882,0.005813627038151026,0.9986759424209595
2,0.00602937676012516,0.9984831213951111,0.005622150842100382,0.9986759424209595
3,0.00555946072563529,0.998580276966095,0.006059293635189533,0.9981232285499573
4,0.005503837019205093,0.9986030459403992,0.005925807170569897,0.9986759424209595
5,0.005461815744638443,0.9985787868499756,0.005733526777476072,0.9986759424209595
6,0.005417590495198965,0.9985878467559814,0.005426415707916021,0.9986759424209595
7,0.005491646472364664,0.9986000061035156,0.0054613444954156876,0.9986637830734253
8,0.005380531772971153,0.9986668229103088,0.006018119864165783,0.9983661770820618
9,0.005386377219110727,0.9986470937728882,0.005388704128563404,0.9986334443092346
10,0.005315463989973068,0.9986743927001953,0.005388109013438225,0.9986759424209595
11,0.005375661887228489,0.998678982257843,0.005354063585400581,0.9986759424209595
12,0.005439054220914841,0.9986425042152405,0.005393724888563156,0.9986637830734253
13,0.00525515154004097,0.9986166954040527,0.0051669771783053875,0.9987184405326843
14,0.005322976503521204,0.9986562132835388,0.0051747336983680725,0.9986759424209595
15,0.0051940022967755795,0.9986516237258911,0.005872812587767839,0.9986698627471924
16,0.005292525514960289,0.9986577033996582,0.005448727868497372,0.9986820220947266
17,0.005287053994834423,0.9986592531204224,0.005599587690085173,0.9986698627471924
18,0.00530965207144618,0.9986865520477295,0.0056993477046489716,0.9986212849617004
19,0.005235637072473764,0.998645544052124,0.0052957916632294655,0.9986698627471924
20,0.005405374336987734,0.9986288547515869,0.005630108527839184,0.9987184405326843
21,0.005317371338605881,0.9987139105796814,0.006008315831422806,0.9983479380607605
22,0.00529894046485424,0.9986713528633118,0.0056647914461791515,0.9986637830734253
23,0.005365034565329552,0.9986562132835388,0.0054687755182385445,0.9986698627471924
24,0.005439630709588528,0.9986804723739624,0.005605010781437159,0.9986577033996582
25,0.005566279869526625,0.9986395239830017,0.005998192820698023,0.9986820220947266
26,0.005562140606343746,0.9986288547515869,0.00662391958758235,0.9986698627471924
27,0.005549442023038864,0.9986470937728882,0.0060489606112241745,0.9986698627471924
28,0.005701042711734772,0.9986379742622375,0.006218366790562868,0.9985969662666321
29,0.0054976497776806355,0.9986516237258911,0.006518091075122356,0.9986759424209595
30,0.005840602796524763,0.998624324798584,0.006676921155303717,0.9986637830734253
31,0.005649548023939133,0.9986926317214966,0.005817434284836054,0.9986577033996582
32,0.0057799117639660835,0.9986000061035156,0.005806153640151024,0.9986759424209595
33,0.005963154137134552,0.9986227750778198,0.005666057113558054,0.9986759424209595
34,0.005826348438858986,0.9986166954040527,0.006174902431666851,0.9986881017684937
35,0.005757989827543497,0.9986501336097717,0.00610932195559144,0.9986759424209595
36,0.006736353971064091,0.9986166954040527,0.00675756111741066,0.9986091256141663
37,0.007930037565529346,0.9984861612319946,0.006760555785149336,0.9986820220947266
38,0.006592602469027042,0.9985225796699524,0.006757557857781649,0.9985787868499756
39,0.006307915784418583,0.9985741972923279,0.006575350183993578,0.9984815716743469
40,0.006263505667448044,0.9985985159873962,0.005997330415993929,0.9986334443092346
41,0.00575626827776432,0.9985939264297485,0.006743968464434147,0.9985666275024414
42,0.006575625389814377,0.9985772371292114,0.006192018743604422,0.9987123608589172
43,0.0056985048577189445,0.9986759424209595,0.005738665349781513,0.9987184405326843
44,0.005538925528526306,0.9986485838890076,0.005642605014145374,0.9987549185752869
45,0.005871625151485205,0.9986470937728882,0.006655004806816578,0.9986698627471924
46,0.006428388878703117,0.998624324798584,0.006369058042764664,0.9987549185752869
47,0.007427865173667669,0.9985392689704895,0.006767950486391783,0.9986212849617004
48,0.006555183790624142,0.9986501336097717,0.0070655448362231255,0.9987002611160278
49,0.006180558819323778,0.9986334443092346,0.01078699715435505,0.9982932806015015
50,0.006567260716110468,0.9986364841461182,0.00715790456160903,0.9986820220947266
