Window,Renyi Entropy
1,0
2,0
3,0
4,0.970950594
5,2
6,0.970950594
7,1.295461844
8,1
9,0.918295834
10,0.970950594
11,0.970950594
12,0.970950594
13,0.970950594
14,0.970950594
15,0.970950594
16,2
17,1.846439345
18,2.521928095
19,1.584962501
20,1.5
21,1.521928095
22,0
23,1.521928095
24,1.846439345
25,1.459147917
26,1.5
27,1.836591668
28,1.378783493
29,1.846439345
30,1.295461844
31,0.99107606
32,1.570950594
33,2.121928095
34,1.921928095
35,0.921928095
36,2.246439345
37,1.392147224
38,1.891061112
39,1.921928095
40,1.370950594
41,1.521928095
42,1.760964047
43,1.921928095
44,0
45,1.485475297
46,0.918295834
47,1.570950594
48,1
49,1.521928095
50,1.435520504
51,2.121928095
52,1.760964047
53,0.970950594
54,1.521928095
55,0
56,0.970950594
57,0.970950594
58,1.370950594
59,0
60,0.970950594
61,0.970950594
62,0.970950594
63,1.521928095
64,1.921928095
65,1.521928095
66,0
67,0.721928095
68,1.370950594
69,2.321928095
70,0.721928095
71,1.360964047
72,1.360964047
73,1.485475297
74,1.760964047
75,1.370950594
76,0.970950594
77,0.468995594
78,1
79,1.360964047
80,0.881290899
81,0.970950594
82,0.970950594
83,1.846439345
84,1.370950594
85,1.521928095
86,1.370950594
87,0.970950594
88,1.521928095
89,1.370950594
90,0.970950594
91,0.721928095
92,1.521928095
93,0.721928095
94,1.370950594
95,1.370950594
96,0.970950594
97,1.921928095
98,1.921928095
99,1.370950594
100,1.521928095
101,0.721928095
102,1.370950594
103,1.360964047
104,1.370950594
105,0.970950594
106,0.970950594
107,0.721928095
108,1.370950594
109,1.921928095
110,0.970950594
111,1.435520504
112,0.721928095
113,2.121928095
114,1.156779649
115,0.970950594
116,0.970950594
117,0.881290899
118,0.881290899
119,1.570950594
120,1.846439345
121,0.918295834
122,1.360964047
123,1.360964047
124,0.970950594
125,0.970950594
126,1.360964047
127,1.846439345
128,1.295461844
129,1.295461844
130,1.156779649
131,0.970950594
132,0.721928095
133,1.295461844
134,2.246439345
135,1.570950594
136,0.881290899
137,1.370950594
138,0.881290899
139,1.360964047
140,2.121928095
141,1.156779649
142,1.521928095
143,1.521928095
144,1.921928095
145,1.521928095
146,0
147,0.881290899
148,1.370950594
149,2.121928095
150,1.485475297
151,1.760964047
152,1.485475297
153,1.295461844
154,1.370950594
155,1.721928095
156,1.360964047
157,0
158,1.846439345
159,1.921928095
160,1.521928095
161,0
162,0.721928095
163,1.370950594
164,1.521928095
165,1.370950594
166,0.970950594
167,0.970950594
168,1.370950594
169,0.721928095
170,0.721928095
171,0.721928095
172,1.485475297
173,1.370950594
174,1.295461844
175,1.156779649
176,1.370950594
177,1.485475297
178,0.881290899
179,0.970950594
180,0.881290899
181,1.156779649
182,0.721928095
183,0.881290899
184,1.570950594
185,1
186,1.921928095
187,1.370950594
188,1.760964047
189,1.360964047
190,1.370950594
191,0.970950594
192,0.970950594
193,0.970950594
194,0.970950594
195,1.156779649
196,1.721928095
197,1.156779649
198,0.970950594
199,1.521928095
200,0.881290899
201,1.156779649
202,1.156779649
203,1.570950594
204,1.921928095
205,1.921928095
206,1.370950594
207,0.721928095
208,0
209,0
210,0
211,0
212,0
213,0.970950594
214,0
215,0.721928095
216,0.970950594
217,0.970950594
218,0.970950594
219,0.970950594
220,0.721928095
221,1
222,0.881290899
223,0.970950594
224,0.970950594
225,1.370950594
226,1.521928095
227,0.721928095
228,0.970950594
229,0.970950594
230,0.721928095
231,1.521928095
232,0.970950594
233,0.811278124
234,1.836591668
235,2.321928095
236,0.970950594
237,0.970950594
238,1
239,2.246439345
240,1.846439345
241,0.881290899
242,0.881290899
243,1.921928095
244,1.836591668
245,1.521928095
246,1.836591668
247,1.370950594
248,1.521928095
249,0.721928095
250,0.970950594
251,1.521928095
252,0.970950594
253,1
254,1.570950594
255,0.721928095
256,1.521928095
257,0
258,0.721928095
259,1.521928095
