Training Round,Loss Value,Accuracy,Validation Loss,Validation Accuracy
1,0.01084987260401249,0.9984679222106934,0.005760332103818655,0.998645544052124
2,0.005815969780087471,0.9986653327941895,0.0057588377967476845,0.9986395239830017
3,0.005650550127029419,0.9986273646354675,0.005709784105420113,0.998645544052124
4,0.0055400351993739605,0.9986395239830017,0.00583295151591301,0.998645544052124
5,0.005495188757777214,0.9986288547515869,0.005559416022151709,0.9986395239830017
6,0.005526281893253326,0.9985727071762085,0.005979939363896847,0.9984208345413208
7,0.005297505762428045,0.9986227750778198,0.005399356130510569,0.998645544052124
8,0.005346999038010836,0.9986152052879333,0.005412075202912092,0.998645544052124
9,0.005297891795635223,0.9986258149147034,0.005517809651792049,0.998645544052124
10,0.005352760665118694,0.998580276966095,0.00571599043905735,0.9981293082237244
11,0.00525297038257122,0.9985878467559814,0.005416249390691519,0.998645544052124
12,0.005276169627904892,0.9986030459403992,0.005319574847817421,0.998645544052124
13,0.005276197101920843,0.9985787868499756,0.005730838514864445,0.9986759424209595
14,0.005239133723080158,0.9986410140991211,0.005339297465980053,0.9987123608589172
15,0.0051890164613723755,0.9986152052879333,0.005647966172546148,0.9986698627471924
16,0.0052304803393781185,0.9986653327941895,0.005636016838252544,0.9986759424209595
17,0.005177024286240339,0.9986698627471924,0.005206264089792967,0.9986516237258911
18,0.005118353292346001,0.9986485838890076,0.00574757345020771,0.9986395239830017
19,0.00531382393091917,0.998580276966095,0.005681647919118404,0.9986637830734253
20,0.005249903537333012,0.9986607432365417,0.005629541352391243,0.9985301494598389
21,0.005252334289252758,0.9986531734466553,0.005588185042142868,0.9987305998802185
22,0.00514867901802063,0.998683512210846,0.005250930320471525,0.9986698627471924
23,0.005169589072465897,0.9986212849617004,0.005445785354822874,0.9986637830734253
24,0.00608814088627696,0.9985301494598389,0.005404169205576181,0.9986698627471924
25,0.005157883744686842,0.9986410140991211,0.005310520995408297,0.9986820220947266
26,0.005228475667536259,0.9986668229103088,0.005546834319829941,0.9986637830734253
27,0.005362454801797867,0.9986227750778198,0.005887789186090231,0.9986334443092346
28,0.005339741241186857,0.9985863566398621,0.0056315828114748,0.9986516237258911
29,0.0052042147144675255,0.9986607432365417,0.005277256015688181,0.9987123608589172
30,0.005215747747570276,0.9986622929573059,0.005173766519874334,0.9987123608589172
31,0.0050805057398974895,0.9986637830734253,0.005364275071769953,0.9986516237258911
32,0.005112563259899616,0.9986485838890076,0.005038020201027393,0.9988034963607788
33,0.005118653178215027,0.9986425042152405,0.005090974736958742,0.9987123608589172
34,0.0050429292023181915,0.9986972212791443,0.005384826101362705,0.9987488389015198
35,0.0051759034395217896,0.9986607432365417,0.005500896368175745,0.9986698627471924
36,0.005113569553941488,0.9986713528633118,0.005151214078068733,0.9986698627471924
37,0.0051508452743291855,0.9986273646354675,0.005275479517877102,0.9986698627471924
38,0.0051995269022881985,0.9986653327941895,0.0055328053422272205,0.9986698627471924
39,0.005176262464374304,0.9986850619316101,0.005200336221605539,0.9989978671073914
40,0.005252838134765625,0.9986106157302856,0.005221260711550713,0.9986759424209595
41,0.005257224198430777,0.9985954761505127,0.005183128174394369,0.9988520741462708
42,0.005246392916887999,0.9986592531204224,0.005133849568665028,0.998815655708313
43,0.00517620611935854,0.998624324798584,0.0051833875477313995,0.998815655708313
44,0.005210723727941513,0.9986364841461182,0.005298749543726444,0.9986212849617004
45,0.005271304864436388,0.9986136555671692,0.0053206542506814,0.9987123608589172
46,0.005157353822141886,0.9987032413482666,0.0050934250466525555,0.9988945722579956
47,0.005194559693336487,0.9986865520477295,0.005630937404930592,0.9986395239830017
48,0.005203592125326395,0.9986729025840759,0.005245379637926817,0.9986881017684937
49,0.00539843225851655,0.998590886592865,0.005364459007978439,0.9986698627471924
50,0.005273126531392336,0.9986516237258911,0.004944656975567341,0.998924970626831
